724940:23234,2008,01,01,00,11.7,-0.6,1023.8,50,7.2,2,0.0,0.0
724940:23234,2008,01,01,01,10.6,3.3,1023.5,100,4.1,4,0.0,0.0
724940:23234,2008,01,01,02,10.6,1.7,1023.6,110,4.6,4,0.0,0.0
724940:23234,2008,01,01,03,10.0,1.1,1024.0,100,4.1,7,0.0,0.0
724940:23234,2008,01,01,04,10.0,1.1,1024.3,100,3.6,7,0.0,0.0
724940:23234,2008,01,01,05,10.0,0.0,1024.6,110,5.1,7,0.0,0.0
724940:23234,2008,01,01,06,10.0,2.8,1024.6,70,4.1,4,0.0,0.0
724940:23234,2008,01,01,07,6.7,-0.6,1024.4,140,3.1,2,0.0,0.0
724940:23234,2008,01,01,08,0.0,999.9,0.0,0,0.0,2,0.0,0.0
724940:23234,2008,01,01,09,8.3,0.6,1024.3,70,5.7,2,0.0,0.0
724940:23234,2008,01,01,10,7.2,1.7,1024.2,90,1.5,0,0.0,0.0
724940:23234,2008,01,01,11,5.0,0.6,1024.4,0,0.0,0,0.0,0.0
724940:23234,2008,01,01,12,4.4,0.6,1024.4,180,2.1,0,0.0,0.0
724940:23234,2008,01,01,13,4.4,0.0,1024.5,160,3.1,0,0.0,0.0
724940:23234,2008,01,01,14,7.2,2.2,1025.1,80,3.6,0,0.0,0.0
724940:23234,2008,01,01,15,4.4,1.7,1025.2,140,2.1,0,0.0,0.0
724940:23234,2008,01,01,16,4.4,1.1,1025.3,150,3.1,7,0.0,0.0
724940:23234,2008,01,01,17,6.7,1.7,1025.7,140,2.1,4,0.0,0.0
724940:23234,2008,01,01,18,7.8,1.7,1026.0,140,2.6,4,0.0,0.0
724940:23234,2008,01,01,19,8.9,2.2,1025.7,160,1.5,4,0.0,0.0
724940:23234,2008,01,01,20,10.0,3.3,1024.8,0,0.0,4,0.0,0.0
724940:23234,2008,01,01,21,11.1,3.9,1023.8,120,1.5,4,0.0,0.0
724940:23234,2008,01,01,22,12.2,4.4,1022.8,0,0.0,7,0.0,0.0
724940:23234,2008,01,01,23,11.7,3.9,1022.4,0,0.0,7,0.0,0.0
724940:23234,2008,01,02,00,11.7,5.0,1021.9,0,0.0,6,0.0,0.0
724940:23234,2008,01,02,01,10.6,4.4,1021.8,0,0.0,7,0.0,0.0
724940:23234,2008,01,02,02,11.1,3.9,1021.6,140,1.5,4,0.0,0.0
724940:23234,2008,01,02,03,10.0,4.4,1021.5,0,0.0,2,0.0,0.0
724940:23234,2008,01,02,04,9.4,4.4,1021.3,0,0.0,2,0.0,0.0
724940:23234,2008,01,02,05,8.3,4.4,1021.2,160,1.5,2,0.0,0.0
724940:23234,2008,01,02,06,8.3,5.0,1021.4,0,0.0,2,0.0,0.0
724940:23234,2008,01,02,07,7.8,5.0,1021.4,130,2.1,2,0.0,0.0
724940:23234,2008,01,02,08,0.0,999.9,0.0,0,0.0,2,0.0,0.0
724940:23234,2008,01,02,09,6.7,3.3,1021.0,150,1.5,0,0.0,0.0
724940:23234,2008,01,02,10,6.1,3.3,1020.6,120,2.1,0,0.0,0.0
724940:23234,2008,01,02,11,6.7,3.3,1020.4,0,0.0,2,0.0,0.0
724940:23234,2008,01,02,12,5.0,2.8,1020.0,170,2.1,2,0.0,0.0
724940:23234,2008,01,02,13,4.4,2.2,1020.0,170,1.5,2,0.0,0.0
724940:23234,2008,01,02,14,5.6,3.3,1019.6,160,2.1,4,0.0,0.0
724940:23234,2008,01,02,15,5.6,3.3,1019.6,130,2.1,7,0.0,0.0
724940:23234,2008,01,02,16,5.6,3.3,1019.5,0,0.0,7,0.0,0.0
724940:23234,2008,01,02,17,6.7,4.4,1019.7,0,0.0,7,0.0,0.0
724940:23234,2008,01,02,18,8.9,4.4,1020.1,0,0.0,6,0.0,0.0
724940:23234,2008,01,02,19,9.4,5.0,1019.9,0,0.0,7,0.0,0.0
724940:23234,2008,01,02,20,10.0,5.6,1018.9,20,2.1,7,0.0,0.0
724940:23234,2008,01,02,21,10.6,5.6,1017.8,30,2.1,7,0.0,0.0
724940:23234,2008,01,02,22,11.1,6.1,1017.0,40,1.5,7,0.0,0.0
724940:23234,2008,01,02,23,11.1,6.7,1016.7,20,2.1,7,0.0,0.0
724940:23234,2008,01,03,00,11.1,7.2,1016.8,0,0.0,6,0.0,0.0
724940:23234,2008,01,03,01,11.1,7.2,1016.6,0,0.0,7,0.0,0.0
724940:23234,2008,01,03,02,11.1,6.7,1016.6,180,2.6,7,0.0,0.0
724940:23234,2008,01,03,03,11.1,6.7,1016.3,190,3.6,4,0.0,0.0
724940:23234,2008,01,03,04,11.1,5.6,1016.2,200,6.2,4,0.0,0.0
724940:23234,2008,01,03,05,10.6,4.4,1016.4,160,2.6,4,0.0,0.0
724940:23234,2008,01,03,06,10.0,4.4,1016.4,120,3.1,4,0.0,0.0
724940:23234,2008,01,03,07,11.1,5.6,1016.5,160,4.1,7,0.0,0.0
724940:23234,2008,01,03,08,0.0,999.9,0.0,0,0.0,7,0.0,0.0
724940:23234,2008,01,03,09,10.0,6.7,1016.4,120,3.1,7,0.0,0.0
724940:23234,2008,01,03,10,10.6,6.1,1015.8,130,3.6,7,0.0,0.0
724940:23234,2008,01,03,11,9.4,7.2,1015.5,70,1.5,8,0.0,0.0
724940:23234,2008,01,03,12,10.6,6.1,1015.4,80,1.5,8,0.0,0.0
724940:23234,2008,01,03,13,10.6,6.7,1014.6,80,3.6,8,0.0,0.0
724940:23234,2008,01,03,14,11.1,6.7,1014.8,0,0.0,7,0.0,0.0
724940:23234,2008,01,03,15,12.2,6.7,1014.9,170,9.8,8,0.0,0.0
724940:23234,2008,01,03,16,12.2,6.7,1014.2,160,7.7,8,0.0,0.0
